crop_type,region,soil_type,rainfall_mm,temperature_c,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,pest_risk,yield_ton_per_hectare
Rice,East,Clay,1137.78,28.68,85.78,6.69,157.81,38.83,38.06,4.56,6.217
Rice,South,Loamy,1123.68,27.61,74.01,6.8,113.7,24.0,96.51,1.25,4.677
Rice,South,Loamy,1094.81,27.35,67.28,5.63,110.63,84.15,40.06,5.94,4.776
Rice,South,Sandy,1399.56,31.17,73.96,5.81,106.78,93.39,82.48,9.11,6.87
Rice,East,Sandy,1181.06,30.2,83.87,6.53,101.84,51.32,80.51,6.28,6.817
Rice,North,Loamy,1078.21,27.84,63.73,6.63,164.87,25.53,93.29,7.9,3.789
Rice,East,Sandy,1103.04,23.57,74.68,5.37,162.53,63.99,105.71,1.35,6.184
Rice,East,Alluvial,1495.51,27.72,61.09,5.7,38.05,62.78,47.66,1.85,7.345
Rice,North,Clay,1190.23,26.17,59.39,5.49,45.88,61.57,92.28,8.75,1.751
Rice,West,Alluvial,1148.72,31.57,64.5,7.05,55.37,35.09,55.14,2.9,6.529
Rice,West,Alluvial,1237.06,30.6,54.7,5.6,78.01,30.17,128.53,9.35,4.165
Rice,North,Black,1418.81,24.41,88.23,6.33,88.86,28.04,102.21,1.36,5.509
Rice,North,Clay,1103.6,28.62,75.63,6.67,107.44,110.05,99.81,1.43,6.468
Rice,South,Alluvial,1008.16,31.48,91.95,5.79,50.57,65.34,142.41,5.12,7.27
Rice,East,Loamy,1354.65,32.58,82.06,5.52,104.71,37.91,139.39,4.06,9.152
Rice,Central,Loamy,1187.31,25.06,77.57,6.93,104.98,106.1,69.62,2.81,6.661
Rice,Central,Alluvial,1122.04,30.18,85.33,7.08,143.82,97.38,114.57,2.84,7.482
Rice,Central,Black,1154.62,28.67,49.29,6.14,128.49,110.78,80.33,9.23,5.543
Rice,East,Sandy,1249.03,28.79,69.62,5.93,168.01,77.2,28.22,8.98,4.514
Rice,East,Loamy,1223.57,26.48,65.87,6.13,155.02,60.09,102.39,1.58,8.343
Rice,West,Black,844.76,32.92,81.34,6.31,55.41,105.77,122.36,2.12,8.004
Rice,Central,Black,1093.11,25.29,73.24,6.25,166.07,81.02,89.61,9.2,5.909
Rice,West,Clay,1233.9,25.86,59.58,6.11,114.17,43.16,77.02,1.98,6.406
Rice,East,Black,1016.77,22.52,71.77,6.63,52.65,32.73,87.73,8.66,3.033
Rice,South,Alluvial,1484.52,28.15,55.93,5.49,110.12,49.62,88.65,5.8,7.65
Rice,North,Alluvial,1283.8,28.8,49.94,6.6,38.76,104.72,35.41,3.73,6.515
Rice,Central,Alluvial,919.6,27.59,68.81,5.7,162.1,85.82,130.55,9.28,5.122
Rice,East,Alluvial,1269.39,26.53,68.59,5.81,77.66,83.1,78.12,2.71,6.106
Rice,East,Loamy,1258.57,26.78,80.94,6.07,154.18,111.85,53.69,9.37,6.393
Rice,West,Black,1311.48,32.44,58.29,5.81,89.51,58.86,69.72,1.63,6.772
Rice,East,Loamy,1081.11,31.3,80.34,5.79,74.89,111.2,41.2,9.07,5.731
Rice,South,Loamy,1296.98,29.41,89.67,6.52,145.67,100.41,107.09,9.31,7.872
Rice,West,Clay,980.93,27.04,70.75,6.03,142.94,35.78,132.75,3.22,6.891
Rice,North,Loamy,1202.66,26.61,87.39,7.02,96.26,50.9,92.71,9.14,4.667
Rice,East,Alluvial,1323.12,31.11,58.97,6.41,41.8,37.57,64.5,3.55,8.149
Rice,South,Sandy,940.75,29.75,60.44,6.68,39.99,19.79,87.16,9.6,4.18
Rice,Central,Black,1185.02,31.81,78.28,5.81,108.7,104.21,141.53,3.57,8.088
Rice,South,Clay,1003.28,33.52,80.51,5.9,81.92,23.28,43.19,1.44,6.754
Rice,East,Black,1217.03,29.26,86.7,6.66,73.06,41.49,62.29,4.94,6.439
Rice,South,Sandy,1054.74,28.91,92.24,6.76,68.0,111.67,64.22,4.01,6.874
Rice,North,Sandy,1038.05,30.69,71.13,6.36,35.67,43.62,38.5,4.4,6.687
Rice,North,Black,1323.36,28.42,58.71,5.73,136.32,81.78,111.77,8.71,6.814
Rice,West,Sandy,1143.64,23.98,61.07,6.02,146.36,87.36,88.02,4.66,6.799
Rice,Central,Clay,1419.89,24.86,74.15,6.23,127.67,95.4,111.21,9.4,6.258
Rice,South,Loamy,1269.12,28.36,64.59,6.88,110.4,78.89,101.27,6.93,6.937
Rice,West,Sandy,1483.85,28.13,82.42,5.64,124.01,24.41,114.2,3.07,7.178
Rice,North,Sandy,1207.27,33.86,58.61,5.91,149.15,25.44,134.52,3.39,8.276
Rice,North,Alluvial,1104.09,26.28,75.59,5.88,128.54,78.25,43.61,5.14,5.404
Rice,West,Sandy,1256.68,27.72,58.01,5.49,73.55,63.19,117.76,9.74,3.957
Rice,Central,Clay,1152.78,29.37,69.76,6.16,103.39,114.48,144.29,4.28,6.96
Rice,South,Loamy,1098.06,27.05,72.11,6.43,145.73,67.35,131.76,7.13,6.938
Rice,South,Black,1337.03,25.58,49.14,6.72,95.85,47.29,44.46,3.9,5.261
Rice,East,Loamy,1185.39,27.83,82.53,6.32,160.06,87.16,133.48,3.41,7.873
Rice,East,Loamy,692.66,36.0,75.1,5.9,72.15,22.68,39.9,8.31,7.337
Rice,East,Clay,1180.57,30.75,71.5,6.36,164.08,103.77,123.0,6.48,7.417
Rice,Central,Alluvial,1200.1,29.37,90.94,5.67,53.71,102.34,84.81,9.01,6.32
Rice,Central,Clay,1264.05,31.18,60.96,6.17,123.13,57.4,55.92,5.15,6.768
Rice,West,Loamy,1230.11,29.8,57.56,6.64,64.7,105.91,144.59,4.85,7.416
Rice,South,Alluvial,1206.25,29.43,63.73,6.48,69.88,73.25,131.81,7.55,6.274
Rice,West,Black,1002.41,30.2,65.34,6.12,72.46,111.87,42.73,5.33,6.901
Rice,South,Loamy,1163.08,30.62,66.39,5.15,149.57,102.67,30.55,1.09,7.684
Rice,West,Alluvial,1113.88,28.09,90.79,6.7,98.2,61.55,119.62,2.81,7.011
Rice,South,Alluvial,1260.36,27.7,85.97,5.94,155.81,26.25,118.89,0.81,6.345
Rice,South,Clay,1137.34,27.59,80.89,6.81,106.31,60.43,117.37,1.7,6.948
Rice,East,Alluvial,1284.01,27.21,60.0,6.21,107.56,114.65,60.6,3.65,8.884
Rice,South,Black,968.97,27.28,49.35,5.65,42.47,36.83,131.53,6.62,4.393
Rice,North,Sandy,1204.79,31.64,65.03,5.51,131.97,53.15,74.37,0.86,6.848
Rice,East,Alluvial,1361.33,29.68,57.22,6.23,97.79,43.71,132.05,1.78,9.16
Rice,Central,Black,901.17,23.24,70.31,6.33,115.3,107.43,34.36,1.01,6.747
Rice,Central,Clay,949.48,30.79,56.47,5.53,77.42,28.98,37.29,2.29,7.029
Rice,South,Clay,1060.72,24.51,69.51,5.93,148.28,113.54,79.76,1.78,6.489
Rice,North,Sandy,1335.13,29.78,88.72,5.5,86.32,92.57,64.12,8.04,6.306
Rice,North,Loamy,1148.87,25.78,72.91,5.82,134.54,64.03,101.9,3.03,8.0
Rice,West,Loamy,1045.26,30.75,84.95,6.47,43.48,76.74,70.47,3.81,5.27
Rice,Central,Loamy,1159.37,33.54,62.56,6.19,137.01,106.9,102.18,9.29,5.923
Rice,North,Clay,1390.64,31.46,69.42,6.33,158.33,97.04,43.53,5.27,9.175
